Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,,,,,
organism1,clinical_data_abstraction,,radio,Organism:,"1, Streptococcus pneumoniae | 2, Group A Streptococcus | 3, Moraxella catarrhalis | 4, Staphylococcus aureus Methacillin-sensitive | 5, Staphylococcus aureus Methacillin-resistant | 6, Staphylococcus non-aureus | 7, Proteus species | 8, E. coli | 9, Klebsiella | 10, Haemophilus influenzae type b | 11, Haemophilus influenzae non-typeable | 12, Pseudomonas | 13, Other Gram negative rods | 14, Other",,,,,,[pathogen_1]=1,y,,,,, @HIDDEN
other_organism,clinical_data_abstraction,,text,Describe other organism:,,,,,,,[organism1] = '14',y,,,,, @HIDDEN
abundance_1,clinical_data_abstraction,,radio,Abundance:,"1, Rare | 2, Few | 3, Moderate | 4, Many | 5, Abundant | 6, Unknown",,,,,,[pathogen_1]=1,y,,,,, @HIDDEN
results_interpretation,clinical_data_abstraction,,radio,Interpretation of Results.,"1, Considered true infection (documented in chart or verbally by clinician) | 2, Unable to determine if colonization or true infection | 3, Assumed to be a colonization | 4, Categorized as a nosocomial infection by hospital infection control",,,,,,[pathogen_1]=1,y,,,,, @HIDDEN
description2,clinical_data_abstraction,,descriptive,Bacterial/Fungal Pathogen #2,,,,,,,[pathogen_1]=1,,,,,, @HIDDEN
pathogen_2,clinical_data_abstraction,,yesno,Was a second infectious bacterial or fungal pathogen identified on presentation from any source?,,,,,,,[pathogen_1]=1,y,,,,, @HIDDEN
bac_fungal_coll_date2,clinical_data_abstraction,,text,Date of specimen collection:,,,date_mdy,,,y,[pathogen_2] = '1',y,RH,,,, @HIDDEN
pos_report_date2,clinical_data_abstraction,,text,Date of positive report:,,,date_mdy,,,y,[pathogen_2] = '1',y,RH,,,, @HIDDEN
culture_source_2,clinical_data_abstraction,,radio,Culture source:,"1, Blood | 2, Lower respiratory tract (endotracheal tube or tracheostomy or bronchoscopy) | 3, Nasopharyngeal | 4, Sputum | 5, Pleural Fluid | 6, Cerebrospinal Fluid | 7, Wound | 8, Urine | 9, Stool",,,,,,[pathogen_2] = '1',y,,,,, @HIDDEN
organism2,clinical_data_abstraction,,radio,Organism:,"1, Streptococcus pneumoniae | 2, Group A Streptococcus | 3, Moraxella catarrhalis | 4, Staphylococcus aureus Methacillin-sensitive | 5, Staphylococcus aureus Methacillin-resistant | 6, Staphylococcus non-aureus | 7, Proteus species | 8, E. coli | 9, Klebsiella | 10, Haemophilus influenzae type b | 11, Haemophilus influenzae non-typeable | 12, Pseudomonas | 13, Other Gram negative rods | 14, Other",,,,,,[pathogen_2] = '1',y,,,,, @HIDDEN
other_organism2,clinical_data_abstraction,,text,Describe other organism.,,,,,,,[organism2] = '14',y,RH,,,, @HIDDEN
abundance_2,clinical_data_abstraction,,radio,Abundance:,"1, Rare | 2, Few | 3, Moderate | 4, Many | 5, Abundant | 6, Unknown",,,,,,[pathogen_2] = '1',y,,,,, @HIDDEN
results_interpretation2,clinical_data_abstraction,,radio,Interpretation of Result:,"1, Considered true infection (documented in chart or verbally by clinician) | 2, Unable to determine if colonization or true infection | 3, Assumed to be a colonization | 4, Categorized as a nosocomial infection by hospital infection control",,,,,,[pathogen_2] = '1',y,,,,, @HIDDEN
description3,clinical_data_abstraction,,descriptive,Bacterial/Fungal Pathogen #3,,,,,,,[pathogen_2]=1,,,,,, @HIDDEN
pathogen_3,clinical_data_abstraction,,yesno,Was a third infectious bacterial or fungal pathogen identified on presentation from any source?,,,,,,,[pathogen_2]=1,y,,,,, @HIDDEN
bac_fungal_coll_date3,clinical_data_abstraction,,text,Date of specimen collection:,,,date_mdy,,,y,,y,,,,, @HIDDEN
pos_report_date3,clinical_data_abstraction,,text,Date of positive report:,,,date_mdy,,,y,,y,,,,, @HIDDEN
culture_source_3,clinical_data_abstraction,,radio,Culture source:,"1, Blood | 2, Lower respiratory tract (endotracheal tube or tracheostomy or bronchoscopy) | 3, Nasopharyngeal | 4, Sputum | 5, Pleural Fluid | 6, Cerebrospinal Fluid | 7, Wound | 8, Urine | 9, Stool",,,,,,,y,,,,, @HIDDEN
organism3,clinical_data_abstraction,,radio,Organism:,"1, Streptococcus pneumoniae | 2, Group A Streptococcus | 3, Moraxella catarrhalis | 4, Staphylococcus aureus Methacillin-sensitive | 5, Staphylococcus aureus Methacillin-resistant | 6, Staphylococcus non-aureus | 7, Proteus species | 8, E. coli | 9, Klebsiella | 10, Haemophilus influenzae type b | 11, Haemophilus influenzae non-typeable | 12, Pseudomonas | 13, Other Gram negative rods | 14, Other",,,,,,,y,,,,, @HIDDEN
other_organism3,clinical_data_abstraction,,text,Describe other organism.,,,,,,,[organism3]=14,y,,,,, @HIDDEN
abundance_3,clinical_data_abstraction,,radio,Abundance:,"1, Rare | 2, Few | 3, Moderate | 4, Many | 5, Abundant | 6, Unknown",,,,,,,y,,,,, @HIDDEN
results_interpretation3,clinical_data_abstraction,,radio,Interpretation of Result.,"1, Considered true infection (documented in chart or verbally by clinician) | 2, Unable to determine if colonization or true infection | 3, Assumed to be a colonization | 4, Categorized as a nosocomial infection by hospital infection control",,,,,,,y,,,,, @HIDDEN
labs_mild,clinical_data_abstraction,"Laboratory Values

If only one laboratory value is available, or if the high and low laboratory values are equal, list the same values for high and low where applicable.",yesno,"Were any labs completed for this illness besides SARS-CoV-2 virus or antibody testing (e.g., blood counts, chemistries)?",,,,,,,[cohort_type] = '8',y,,,,,
labs_mild_which,clinical_data_abstraction,,checkbox,"What labs were completed for this illness besides SARS-CoV-2 virus or antibody testing (e.g., blood counts, chemistries)?","1, Complete blood count (CBC) | 2, Basic metabolic panel (BMP,) comprehensive metabolic panel (CMP), or liver enzymes/panel (LFTs) | 3, Inflammatory markers or ferritin (e.g., CRP, ESR, ferritin, procalcitonin) | 4, Coags or D-dimer (e.g., PT, INR, PTT, fibrinogen, D-dimer) | 5, Other labs (e.g., LDH, triglycerides, lactate, BNP, Troponin, IL-6)",,,,,,[labs_mild] = '1',,,,,,
wbc_high,clinical_data_abstraction,,text,WBC Count (x10^3/無 or 10^9/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
wbc_low,clinical_data_abstraction,,text,WBC Count (x10^3/無 or 10^9/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
hemoglobin_high,clinical_data_abstraction,,text,Hemoglobin (g/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,, @HIDDEN
hemoglobin_low,clinical_data_abstraction,,text,Hemoglobin (g/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
hematocrit_high,clinical_data_abstraction,,text,Hematocrit (%) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,, @HIDDEN
hematocrit_low,clinical_data_abstraction,,text,Hematocrit (%) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,, @HIDDEN
platelets_high,clinical_data_abstraction,,text,Platelets (x10^3/無 or x10^9/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
platelets_low,clinical_data_abstraction,,text,Platelets (x10^3/無 or x10^9/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
lymphocytes_high,clinical_data_abstraction,,text,Absolute lymphocyte count (cells/無 or cells/mm^3) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
lymphocytes_low,clinical_data_abstraction,,text,Absolute lymphocyte count (cells/無 or cells/mm^3) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
neutrophils_high,clinical_data_abstraction,,text,Absolute neutrophil count (cells/無) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
neutrophils_low,clinical_data_abstraction,,text,Absolute neutrophil count (cells/無) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,,,,,
sodium_high,clinical_data_abstraction,,text,Sodium (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
sodium_low,clinical_data_abstraction,,text,Sodium (mmol/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
potassium_high,clinical_data_abstraction,,text,Potassium (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
potassium_low,clinical_data_abstraction,,text,Potassium (mmol/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
bicarb_high,clinical_data_abstraction,,text,Bicarbonate (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
bicarb_low,clinical_data_abstraction,,text,Bicarbonate (mmol/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
urea_high,clinical_data_abstraction,,text,Urea (BUN) (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
urea_low,clinical_data_abstraction,,text,Urea (BUN) (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
creatinine_high,clinical_data_abstraction,,text,Creatinine (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
creatinine_low,clinical_data_abstraction,,text,Creatinine (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
glucose_high,clinical_data_abstraction,,text,Glucose (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
glucose_low,clinical_data_abstraction,,text,Glucose (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
bilirubin_high,clinical_data_abstraction,,text,Total bilirubin (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
bilirubin_low,clinical_data_abstraction,,text,Total bilirubin (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
albumin_high,clinical_data_abstraction,,text,Albumin (g/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
albumin_low,clinical_data_abstraction,,text,Albumin (g/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
ast_sgot_high,clinical_data_abstraction,,text,AST/SGOT (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
ast_sgot_low,clinical_data_abstraction,,text,AST/SGOT (U/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
alt_sgpt_high,clinical_data_abstraction,,text,ALT/SGPT (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
alt_sgpt_low,clinical_data_abstraction,,text,ALT/SGPT (U/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
ggt_ggtp_high,clinical_data_abstraction,,text,Gamma-glutamyl transferase (GGT/GGTP) (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,,
ggt_ggtp_low,clinical_data_abstraction,,text,Gamma-glutamyl transferase (GGT/GGTP) (U/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,,,,, @HIDDEN
crp_high,clinical_data_abstraction,,text,"C-Reactive Protein, CRP (mg/L or mg/dL) HIGH ",,Mark -6 if not done. Enter units below.,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,,
crp_unit,clinical_data_abstraction,,radio,CRP units,"1, mg/L | 2, mg/dL",,,,,,[crp_high] <> '' and [crp_high] <> '-6',y,,,,,
crp_low,clinical_data_abstraction,,text,"C-Reactive Protein, CRP (mg/L or mg/dL) LOW",,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,, @HIDDEN
esr_high,clinical_data_abstraction,,text,ESR (mm/hr) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,,
esr_low,clinical_data_abstraction,,text,ESR (mm/hr) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,,
ferritin_high,clinical_data_abstraction,,text,Ferritin (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,,
ferritin_low,clinical_data_abstraction,,text,Ferritin (ng/mL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,, @HIDDEN
procalcitonin_high,clinical_data_abstraction,,text,Procalcitonin (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,,
procalcitonin_low,clinical_data_abstraction,,text,Procalcitonin (ng/mL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,,,,, @HIDDEN
ldh_high,clinical_data_abstraction,,text,LDH (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
ldh_low,clinical_data_abstraction,,text,LDH (U/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
triglycerides_high,clinical_data_abstraction,,text,Triglycerides (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
triglycerides_low,clinical_data_abstraction,,text,Triglycerides (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
ck_high,clinical_data_abstraction,,text,Creatine kinase (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
ck_low,clinical_data_abstraction,,text,Creatine kinase (U/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
pt_high,clinical_data_abstraction,,text,PT (seconds) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
pt_low,clinical_data_abstraction,,text,PT (seconds) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,, @HIDDEN
inr_high,clinical_data_abstraction,,text,INR (units) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
inr_low,clinical_data_abstraction,,text,INR (units) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,, @HIDDEN
aptt_high,clinical_data_abstraction,,text,APTT/APTR (seconds) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
aptt_low,clinical_data_abstraction,,text,APTT/APTR (seconds) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,, @HIDDEN
thrombin_time_high,clinical_data_abstraction,,text,Thrombin time (seconds) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
thrombin_time_low,clinical_data_abstraction,,text,Thrombin time (seconds) LOW ,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,, @HIDDEN
fibrinogen_high,clinical_data_abstraction,,text,Fibrinogen (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
fibrinogen_low,clinical_data_abstraction,,text,Fibrinogen (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
d_dimer_high,clinical_data_abstraction,,text,"D-dimer (mg/L, 痢/mL, or n/ml) HIGH",,Mark -6 if not done. Enter units below.,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,,
d_dimer_unit,clinical_data_abstraction,,radio,D-dimer units,"1, mg/L | 2, 痢/mL | 3, n/ml | 4, Other units",,,,,,[d_dimer_high] <> '' and [d_dimer_high] <> '-6',y,,,,,
d_dimer_unit_oth,clinical_data_abstraction,,text,Enter D-dimer units,,,,,,,[d_dimer_unit] = '4',y,,,,,
d_dimer_low,clinical_data_abstraction,,text,D-dimer (mg/L or 痢/mL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,,,,, @HIDDEN
lactate_high,clinical_data_abstraction,,text,Lactate (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
lactate_low,clinical_data_abstraction,,text,Lactate (mmol/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
bnp_high,clinical_data_abstraction,,text,B-type natriuretic peptide (BNP) (pg/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
bnp_low,clinical_data_abstraction,,text,B-type natriuretic peptide (BNP) (pg/mL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
troponin_t_high,clinical_data_abstraction,,text,Troponin T (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
troponin_t_low,clinical_data_abstraction,,text,Troponin T (ng/mL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
troponin_i_high,clinical_data_abstraction,,text,Troponin I (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
troponin_i_low,clinical_data_abstraction,,text,Troponin I (ng/mL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
il_6_highest,clinical_data_abstraction,,text,IL-6 highest level (pg/mL):,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,,
il_levels,clinical_data_abstraction,Immune/Inflammation Specific Workup,yesno,"IL-6, IL1Ra, and IL-10 Levels",,,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,,,,, @HIDDEN
il_6_initial,clinical_data_abstraction,,text,IL-6 initial/first level (pg/mL):,,Mark -6 if not done,,,,,[il_levels] = '1',y,,,,, @HIDDEN
il_6_date,clinical_data_abstraction,,text,Date of IL-6 initial/first level (pg/mL):,,,date_mdy,,,y,[il_levels] = '1',,,,,, @HIDDEN
il_6_highest_date,clinical_data_abstraction,,text,Date of IL-6 highest level (pg/mL):,,,date_mdy,,,y,[il_levels] = '1',,,,,, @HIDDEN
il1ra_initial,clinical_data_abstraction,,text,IL1Ra initial/first level (pg/mL):,,Mark -6 if not done,,,,,[il_levels] = '1',y,,,,, @HIDDEN
il1ra_initial_date,clinical_data_abstraction,,text,Date of IL1Ra initial/first level (pg/mL):,,,date_mdy,,,y,[il_levels] = '1',,,,,, @HIDDEN
il1ra_highest,clinical_data_abstraction,,text,"IL1Ra highest level (pg/mL):	",,Mark -6 if not done,,,,,[il_levels] = '1',y,,,,, @HIDDEN
ilra1_highest_date,clinical_data_abstraction,,text,"Date of IL1Ra highest level (pg/mL):	",,,date_mdy,,,y,[il_levels] = '1',,,,,, @HIDDEN
il_10_initial,clinical_data_abstraction,,text,IL-10 initial/first level (pg/mL):,,Mark -6 if not done,,,,,[il_levels] = '1',y,,,,, @HIDDEN
il_10_initial_date,clinical_data_abstraction,,text,Date of IL-10 initial/first level (pg/mL):,,,date_mdy,,,y,[il_levels] = '1',,,,,, @HIDDEN
il_10_highest,clinical_data_abstraction,,text,IL-10 highest level (pg/mL):,,Mark -6 if not done,,,,,[il_levels] = '1',y,,,,, @HIDDEN
il_10_highest_date,clinical_data_abstraction,,text,Date of IL-10 highest level (pg/mL):,,,date_mdy,,,y,[il_levels] = '1',,,,,, @HIDDEN
vent_oxygen_support,clinical_data_abstraction,"Clinical Course

The information in this section is from the entire hospital course to hospital discharge. 

Respiratory Complications",yesno,Did the patient receive and ventilator or oxygen support during this hospitalization?,,,,,,,,y,,,,, @HIDDEN
endo_tube_trach,clinical_data_abstraction,,yesno,Mechanical ventilatory support through an endotracheal tube or tracheostomy,,,,,,,[vent_oxygen_support] = '1',y,,,,, @HIDDEN
intub_date,clinical_data_abstraction,,text,Date of intubation:,,,date_mdy,,,y,[endo_tube_trach] = '1',y,,,,, @HIDDEN
intub_time,clinical_data_abstraction,,text,Time of intubation:,,,time,,,,[endo_tube_trach] = '1',y,,,,, @HIDDEN
extub_date,clinical_data_abstraction,,text,Date of extubation:,,,date_mdy,,,y,[endo_tube_trach] = '1',y,,,,, @HIDDEN
extub_time,clinical_data_abstraction,,text,Time of extubation:,,,time,,,,[endo_tube_trach] = '1',y,,,,, @HIDDEN
bipap_cpap,clinical_data_abstraction,,yesno,Non-invasive mechanical ventilatory support (BiPAP or CPAP) ONLY or PRIOR TO initial intubation,,,,,,,[vent_oxygen_support] = '1',y,,,,, @HIDDEN
bibap_cpap_extub,clinical_data_abstraction,,yesno,Non-invasive mechanical ventilatory support (BiPAP or CPAP) AFTER extubation,,,,,,,[vent_oxygen_support]='1',y,,,,, @HIDDEN
mech_ventilator,clinical_data_abstraction,,yesno,Mechanical ventilator ,,,,,,,[vent_oxygen_support] = '1',y,,,,, @HIDDEN
nasal_cannula2,clinical_data_abstraction,,yesno,High-flow nasal cannula,,,,,,,[vent_oxygen_support] = '1',y,,,,, @HIDDEN
other_supp_oxygen,clinical_data_abstraction,,yesno,"Other supplemental oxygen (nasal cannula, face tent, blow-by, etc.)",,,,,,,[vent_oxygen_support] = '1',y,,,,, @HIDDEN
no2,clinical_data_abstraction,,yesno,Nitric Oxide,,,,,,,[vent_oxygen_support] = '1',y,,,,, @HIDDEN
pneumothorax2,clinical_data_abstraction,,yesno,Pneumothorax or other signs of barotrauma,,,,,,,,y,,,,, @HIDDEN
resp,clinical_data_abstraction,,yesno,"Were there respiratory complications during hospitalization, such as pneumonia, ARDS, pulmonary edema, pneumothorax, pleural effusion, or pulmonary hemorrhage?",,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,,,,,,
resp_confirm,clinical_data_abstraction,,descriptive,"<div style=""background-color:#FFCCCC;padding:10px"">You indicated that this was a case with severe acute COVID-19. Please confirm that there were no respiratory complications.</div>",,,,,,,[cohort_type] = '9' and [resp] = '0',,,,,,
resp_complic,clinical_data_abstraction,,checkbox,Which respiratory complications were diagnosed during hospitalization?,"1, Pneumonia | 2, Acute respiratory distress syndrome (ARDS) | 3, Pulmonary edema | 4, Pneumothorax | 5, Pleural effusion | 6, Pulmonary hemorrhage | 7, Other",,,,,,[resp] = '1',y,,,,,
resp_complic_oth,clinical_data_abstraction,,text,Which other respiratory complications were diagnosed during hospitalization?,,,,,,,[resp_complic(7)] = '1',,,,,,
