variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name
31356-past12_recommended-999,"In the last 12 months, participant has: Prefer not to answer","Which of the following, if any, have you done in the last 12 months? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31357-follow_doctor,Likeliness to tell disagreement to doctor,"If you don't agree with something your doctor says to you, how likely are you to tell your doctor that you disagree with him or her?",categorical,"1, Not at all; 2, Slightly likely; 3, Moderately likely; 4, Very likely; 5, Extremely likely; 999, Prefer not to answer",,true,,,Follow-up Survey
31358-trust_measures_family,Trust measures - family,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your close family members",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
31359-trust_measures_physician,Trust measures - physician,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your physician",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
31360-trust_measures_pharmacy,Trust measures - pharmacy,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your pharmacy",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
31361-trust_measures_insurance,Trust measures - insurance,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your health insurance company",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
31362-trust_measures_research,Trust measures - research,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

A research institution",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
31363-trust_measures_govt,Trust measures - government,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

A government organization",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
31364-trust_measures_tech,Trust measures - technology,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

A technology company",categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",,true,,,Follow-up Survey
36096-post_covidvaccine,Vaccination status (COVID),Did you receive the COVID-19 vaccine?,categorical,"1, Yes; 2, No; 4, Not sure, I participated in a COVID-19 vaccination trial; 3, Prefer not to answer",,true,,,Follow-up Survey
36097-post_vaccinelikely,Vaccination Likeliness to Receive (COVID),"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?",categorical,"14, Very likely; 15, Likely ; 16,  I do not know yet; 17, Unlikely ; 18, Very unlikely",,true,,,Follow-up Survey
36104-post_vaccinefactors-1,Factors that might make participant less likely to get the vaccine selected; I will not get/am never sick,What factors might make you less likely to get the vaccine? I will not get/am never sick,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-2,Factors that might make participant less likely to get the vaccine selected; It's just a virus/not fatal/not necessary,What factors might make you less likely to get the vaccine? It's just a virus/not fatal/not necessary,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-3,"Factors that might make participant less likely to get the vaccine selected; I never get vaccinated ","What factors might make you less likely to get the vaccine? I never get vaccinated ",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-4,Factors that might make participant less likely to get the vaccine selected; I do not trust the vaccine,What factors might make you less likely to get the vaccine? I do not trust the vaccine,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-5,Factors that might make participant less likely to get the vaccine selected; I do not want to pay for it,What factors might make you less likely to get the vaccine? I do not want to pay for it,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-6,Factors that might make participant less likely to get the vaccine selected; Vaccination location is not convenient,What factors might make you less likely to get the vaccine? Vaccination location is not convenient,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-7,Factors that might make participant less likely to get the vaccine selected; Difficult in making an appointment,What factors might make you less likely to get the vaccine? Difficult in making an appointment,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,What factors might make you less likely to get the vaccine? It depends on the risk/adverse events,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-9,Factors that might make participant less likely to get the vaccine selected; I have not thought about it yet,What factors might make you less likely to get the vaccine? I have not thought about it yet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,What factors might make you less likely to get the vaccine? I am not in the risk group with underlying conditions,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-11,Factors that might make participant less likely to get the vaccine selected; I need more information first,What factors might make you less likely to get the vaccine? I need more information first,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-12,Factors that might make participant less likely to get the vaccine selected; I have already had COVID-19,What factors might make you less likely to get the vaccine? I have already had COVID-19,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),What factors might make you less likely to get the vaccine? I am going to let others get it first (herd immunity),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-14,Factors that might make participant less likely to get the vaccine selected; I have had severe allergic reactions to vaccines in the past,What factors might make you less likely to get the vaccine? I have had severe allergic reactions to vaccines in the past,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-15,Factors that might make participant less likely to get the vaccine selected; I am concerned that it will not interact with other medications/treatments that I am currently taking,What factors might make you less likely to get the vaccine? I am concerned that it will not interact with other medications/treatments that I am currently taking,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-16,"Factors that might make participant less likely to get the vaccine selected; I am currently pregnant, planning a pregnancy, or breastfeeding","What factors might make you less likely to get the vaccine? I am currently pregnant, planning a pregnancy, or breastfeeding",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,What factors might make you less likely to get the vaccine? Do not know yet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-18,Factors that might make participant less likely to get the vaccine selected; Other,What factors might make you less likely to get the vaccine? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36104-post_vaccinefactors-19,Factors that might make participant less likely to get the vaccine selected; Prefer not to answer,What factors might make you less likely to get the vaccine? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
36105-post_vaccineother,Other factors that the participant indicates would make them less likely to receive the vaccine,"Other factors, please specify:",text,,,true,,,Follow-up Survey
31365-covid_easeofuse_instructions,COVID Test Kit - Ease of Use - Instructions,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Following the kit instructions",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31366-covid_easeofuse_opening,COVID Test Kit - Ease of Use - Opening Kit,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Opening the tube",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31367-covid_easeofuse_settingup,COVID Test Kit - Ease of Use - Setting up Kit,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Setting up the tube",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31368-covid_easeofuse_sample,COVID Test Kit - Ease of Use - Collecting nasal sample,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Collecting a nasal sample with the swab",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31369-covid_easeofuse_swab,COVID Test Kit - Ease of Use - Placing swab in tube,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Putting the swab in the tube",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31370-covid_easeofuse_strip,COVID Test Kit - Ease of Use - Using the test strip,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Opening/using the test strip",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31371-covid_easeofuse_supplies,COVID Test Kit - Ease of Use - Keeping track of kit contents,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Keeping track of all the supplies",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31372-covid_easeofuse_results,COVID Test Kit - Ease of Use - Interpreting results,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Interpreting the results from the test strip",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31373-covid_test2_feedback,"Second kit, instructions ease of use status","If you completed at-home COVID Test #2, did you find it was easier to follow the instructions the second time around?",categorical,"1, Yes, it was easier the 2nd time; 2, No, it was harder the 2nd time; 7, It was about the same; 3, Not sure; 4, I didn't complete test #2; 999, Prefer not to answer",,true,,,Follow-up Survey
31374-covid_interact,Overall ease of use for at-home test kit,"Overall, how easy or difficult would you say it was to use the at-home COVID tests?",categorical,"1, Extremely easy; 2, Somewhat easy; 3, Neither easy nor difficult; 4, Somewhat difficult; 5, Extremely difficult; 999, Prefer not to answer",,true,,,Follow-up Survey
31376-covid_comments,Other comments related to the at-home COVID tests,Other comments related to the at-home covid tests?,text,,,false,,,Follow-up Survey
31377-athome_again,Likeliness to repeat at-home testing if required,"If you were given the opportunity to use the same at-home COVID Tests again, would you?",categorical,"1, Yes; 2, Maybe; 3, No; 4, I'm not sure; 999, Prefer not to answer",,true,,,Follow-up Survey
31378-covid_studytools,COVID Web Site - Ease of Use - Creating an account,"Can you tell us how easy or difficult it was to use COVID-CARE website for this study?

Registering and creating an account",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31379-covid_studytools,COVID Web Site - Ease of Use - Providing consent,"Can you tell us how easy or difficult it was to use COVID-CARE website for this study?

Providing consent to join the research program",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31380-covid_studytools,COVID Web Site - Ease of Use - Ordering at-home kit,"Can you tell us how easy or difficult it was to use COVID-CARE website for this study?

Ordering the at-home COVID test kit (confirming my address)",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31381-covid_studytools,COVID Web Site - Ease of Use - Completing the symptom survey,"Can you tell us how easy or difficult it was to use COVID-CARE website for this study?

Completing the COVID symptoms survey",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31382-covid_studytools,COVID Web Site - Ease of Use - Entering the results from the at-home kit,"Can you tell us how easy or difficult it was to use COVID-CARE website for this study?

Entering the results from the at-home COVID testing kit",categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",,true,,,Follow-up Survey
31383-covid_web_interact,Overall ease of use for COVID web site,"Overall, how easy or difficult was it to use the COVID-CARE study website?",categorical,"1, Extremely easy; 2, Somewhat easy; 3, Neither easy nor difficult; 4, Somewhat difficult; 5, Extremely difficult; 999, Prefer not to answer",,true,,,Follow-up Survey
31385-covid_web_comments,Other comments related to the participant web experience,Other comments related to your web experience?,text,,,false,,,Follow-up Survey
31386-covid_results-1,"Participant indicates that the results they received as part of their at-home COVID test, included: Positive",What results did you receive as part of your at-home COVID test? Positive,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31386-covid_results-2,"Participant indicates that the results they received as part of their at-home COVID test, included: Negative",What results did you receive as part of your at-home COVID test? Negative,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31386-covid_results-3,"Participant indicates that the results they received as part of their at-home COVID test, included: Invalid",What results did you receive as part of your at-home COVID test? Invalid,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31386-covid_results-4,"Participant indicates that the results they received as part of their at-home COVID test, included: Could not complete 1 or more tests",What results did you receive as part of your at-home COVID test? Could not complete 1 or more tests,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31386-covid_results-5,"Participant indicates that the results they received as part of their at-home COVID test, included: Not sure for 1 or more tests",What results did you receive as part of your at-home COVID test? Not sure for 1 or more tests,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31386-covid_results-999,"Participant indicates that the results they received as part of their at-home COVID test, included: Prefer not to answer",What results did you receive as part of your at-home COVID test? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31387-covid_agree,Participants overall agreement with test results from at-home kits,Do you feel like these results were accurate?,categorical,"1, Yes; 2, No; 3, I'm not sure; 999, Prefer not to answer",,true,,,Follow-up Survey
inclinic test completed submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""I Completed My In-Clinic COVID Test""",,integer,De-identified Value in Days,days,false,,,
32078-inclinic_intro2,Participant in-clinic follow-up status,"Please select below when you have completed your in-person VCU COVID-19 test.

(If your appointment is scheduled soon, please do not complete this survey yet.)",categorical,"1, I completed my in-person VCU Test; 2, I no longer want to complete the in-person VCU Test  (please note this means you will not receive compensation for this study activity)",,true,,,I Completed My In-Clinic COVID Test
32092-inclinic_date_deid,Number of days from day of Consent when Participant performed their in-clinic visit,What is the day you completed the in-person clinic test?.,integer,De-identified Value in Days,days,true,,,I Completed My In-Clinic COVID Test
32081-inclinic_why,Participant declines to perform in-clinic follow-up,Can you let us know why you no longer plan to complete this in-person test?,categorical,"1, I forgot to go to my appointment; 2, I am too busy; 3, I don't want to; 4, Other",,true,,,I Completed My In-Clinic COVID Test
32093-inclinic_why_specify,Other reasons unable to complete in-clinic appointment,"Other reasons unable to complete in-clinic appointment, please specify:",text,,,true,,,I Completed My In-Clinic COVID Test
athome2 completed submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""At-home COVID Kit Instructions and Survey"" related to At-Home Test 2",,integer,De-identified Value in Days,days,false,,,
32316-have_allitems_2,"At-home COVID Test Survey #2, Status of Items required",Do you have everything shown here?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
32310-testkit_performing_2,"At-Home COVID Test Survey #2,  test specified",Please confirm which at-home COVID Test you are taking:,categorical,"1, At-home COVID Test #1; 2, At-home COVID Test #2; 3, I am retaking my COVID Test #1",,true,,,At-home COVID Kit Instructions and Survey
32320-datestart_2_deid,Number of days from day of Consent when Participant started their second at-home COVID test,What is the day that you completed the first at-home COVID test?,integer,De-identified Value in Days,days,true,,,At-home COVID Kit Instructions and Survey
32321-time_picker_2,Participant specified time of day string between 0:0 and 23:59,"Time of second at-home test, please specify:",string,,,true,,,At-home COVID Kit Instructions and Survey
32350-blueline_results_2,"At-Home COVID Test Survey #2, Blue Line Status",Do you see a Blue Line on your Strip?,categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",,true,,,At-home COVID Kit Instructions and Survey
32353-pinkline_results_2,"At-Home COVID Test Survey #2, Pink Line Status","Do you see a Pink Line on your Strip?
Look closely, the Pink Line may be very faint.",categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",,true,,,At-home COVID Kit Instructions and Survey
32356-pinkblue_confirm_2,"At-Home COVID Test Survey #2, Pink and Blue Confirmation Status",Does your test strip look like one of these?,categorical,"1, Yes; 2, No, I'm not sure; 3, I did not complete the test",,true,,,At-home COVID Kit Instructions and Survey
32359-blue_nopink_confirm_2,"At-Home COVID Test Survey #2, No Pink, but Yes Blue Confirmation Status",Does your test strip look like this?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
32362-noblue_confirm_2,"At-Home COVID Test Survey #2, No Blue Confirmation Status",Does your test strip look one of these?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
32364-unable_select_2,"At-Home COVID Test Survey #2, Unable to complete status",We are sorry to hear that you were unable to complete the COVID Test. Could you please let us know why you were not able to complete the test?,categorical,"1, It was too painful; 2, I didn't feel comfortable administering to myself; 3, I changed my mind, I no longer want to be in this study; 4, Other; 5, Prefer not to answer",,true,,,At-home COVID Kit Instructions and Survey
32365-unable_other_2,Unable to complete the at-home test 2 for other reasons,"Other reasons why you couldn't complete the second at-home test, please specify:",text,,,true,,,At-home COVID Kit Instructions and Survey
32366-which_test_2,"At-Home COVID Test Survey #2, Confirmed test type status",Please confirm which test you just attempted to complete:,categorical,"1, Test #1; 2, Test #2; 3, Retake of Test #1",,true,,,At-home COVID Kit Instructions and Survey
32367-willing_retake_2,"At-Home COVID Test Survey #2, confirming retake status",Would you be willing to try another at-home test in a few days?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
32373-invalid_followup_2,"At-Home COVID Test Survey #2, Invalid Status Follow-up","Based on your response, we are not sure if your test if Positive or Negative. This can happen sometimes. Please answer a few questions to help us determine what your next steps should be. Which at-home COVID Test did you just take?",categorical,"1, Test #1; 2, Test #2; 3, Retaking test #1",,true,,,At-home COVID Kit Instructions and Survey
32374-test1_invalid_2,"At-Home COVID Test Survey #2, Retake Test 1 Status",Would you like to take another at-home COVID test today?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
